Time ch_1 ch_2 ch_3 ch_4 ch_5 ch_6 ch_7 ch_8 
1180218.750518 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.760514 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.770918 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.781067 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.790762 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.801232 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.811590 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.820950 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.831435 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.841174 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.850979 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.861017 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.872386 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.880960 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.890807 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.901164 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.911197 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.921716 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.931418 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.941179 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.951059 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.961495 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.970821 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.981528 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.991263 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.001315 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.012081 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.021279 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.031325 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.041481 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.051281 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.061063 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.072113 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.084478 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.091403 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.101105 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.111242 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.121015 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.131309 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.141060 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.151205 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.161490 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.172027 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.180782 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.191566 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.201083 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.211214 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.221225 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.231192 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.241306 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.251303 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.261307 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.271000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.281378 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.290964 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.301247 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.311280 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.321264 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.332258 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.340806 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.352429 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.361012 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.371387 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.381532 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.391325 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.401405 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.411180 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.421325 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.431199 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.441475 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.451365 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.462678 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.471331 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.481379 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.491860 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.501240 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.511102 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.521465 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.530647 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.542235 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.551423 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.562256 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.570888 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.581958 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.590893 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.601282 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.611376 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.620749 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.630898 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.640810 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.650706 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.660673 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.670659 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.680838 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.690667 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.700772 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.710617 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.721978 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.730458 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.740934 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.750592 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.761139 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.770515 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.780315 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.790420 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.800721 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.810890 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.821180 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.832088 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.842310 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.851454 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.862007 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.871246 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.882960 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.891026 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.901250 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180219.911056 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.920931 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180219.931391 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.941838 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.951106 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180219.961549 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180219.971445 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180219.981072 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180219.991312 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.001631 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.012653 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.021003 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180220.031144 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.042613 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.051494 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.061733 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.071134 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180220.081794 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.091103 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.101153 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.111539 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.122688 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180220.131096 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.144005 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.151600 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.161260 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.171271 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180220.181360 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.191318 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.202224 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.211548 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.221770 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180220.233290 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.242460 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.251375 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.262513 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.271503 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180220.281406 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.291656 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.302044 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.311059 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.321269 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180220.331977 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.341662 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.352016 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.361904 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.372180 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180220.382184 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.391066 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.402168 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.411334 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.421820 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180220.431629 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.442316 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.451492 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180220.461303 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180220.471283 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180220.481481 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180220.491358 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.501730 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180220.511040 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
