Time ch_1 ch_2 ch_3 ch_4 ch_5 ch_6 ch_7 ch_8 
1690427.564858 -0.216480 -0.995357 1.134220 1.097083 -0.717067 -0.669255 0.117666 0.451090 
1690427.575060 -0.990788 -0.843722 -0.334185 -0.080635 -0.455898 0.182304 0.970742 1.383999 
1690427.585170 -0.860463 -0.602925 1.205007 0.304455 -0.503104 -0.219214 1.764372 -1.231350 
1690427.596182 -1.504515 0.443603 0.064787 1.556262 -0.016544 0.346302 -0.212846 0.432393 
1690427.604813 -0.810729 -0.219085 -2.731167 0.308258 -0.281992 -0.157733 -0.653290 0.824040 
1690427.614883 -1.195770 0.810464 0.242837 0.588037 0.597258 -1.304884 -1.342669 -0.085830 
1690427.624708 -0.543164 -1.020763 1.023419 -0.810108 0.287057 -1.955653 -0.097500 1.319486 
1690427.635203 -0.411963 1.777386 -0.055591 -0.038997 1.378155 0.926359 0.813934 0.094192 
1690427.645470 1.126905 0.321172 0.821934 0.106371 1.419904 -0.386337 -0.057563 -0.830451 
1690427.655393 0.025356 1.208804 0.231713 -0.205263 1.883355 -0.623955 -0.611575 0.087146 
1690427.664854 1.471879 -0.657241 -0.549924 -0.817435 0.708908 0.935937 1.451182 0.419943 
1690427.675402 -0.109770 -1.684571 1.892560 1.689966 1.507541 1.186806 -0.429628 1.579335 
1690427.686182 -0.878868 0.931705 0.205269 0.548299 -0.397756 -0.135058 1.554813 -2.059761 
1690427.695101 -0.547456 -0.982395 0.078597 -0.181319 -0.621379 -1.724656 -0.187970 -0.495843 
1690427.704776 -0.406272 -2.132939 2.351019 -0.273867 0.801438 -2.423024 0.316294 0.176683 
1690427.714832 -0.446030 -1.926735 0.014194 1.897722 0.328758 -1.264758 -1.886469 -0.611412 
1690427.724519 1.636859 -0.779847 -0.308148 -0.128228 0.656017 -0.460481 1.328969 -0.185909 
1690427.734550 0.214408 -1.563414 -0.169312 0.268745 0.022305 0.962212 0.913829 2.081310 
1690427.745125 0.039874 -0.009155 -0.154035 0.747183 -0.251413 -0.466940 -0.014612 0.766586 
1690427.755315 -0.049763 0.022380 0.900416 0.038773 1.089893 -1.379485 1.947006 1.563739 
1690427.764598 0.451069 1.598111 0.425912 1.465721 -0.876190 1.039694 -0.611056 1.082256 
1690427.776609 0.939118 -1.330422 -0.967002 1.647994 0.610259 -1.051967 -0.735098 0.786084 
1690427.785322 0.242933 -0.223557 -1.174419 0.120478 0.182434 -0.267142 -1.442137 0.312314 
1690427.795073 0.879786 -1.558151 0.148030 1.132441 -0.191324 -1.113721 -0.404479 -0.059745 
1690427.805622 -1.426499 -0.779727 0.946681 1.126171 0.130561 -2.730363 0.018064 -0.698708 
1690427.816393 0.033332 0.590061 -0.812680 1.472036 0.404516 0.445423 1.961314 -0.430003 
1690427.825987 -0.327701 -1.076502 -0.649775 -2.661221 -0.639922 0.252668 0.085798 1.781250 
1690427.835711 0.282935 -0.411464 -1.403027 0.509924 -1.429878 0.374642 -1.955088 0.708788 
1690427.845786 -0.708667 1.604322 1.177960 -0.948866 0.329289 -0.393210 -0.605526 -0.142744 
1690427.855682 -0.551557 0.202443 -0.079303 0.948907 -0.944254 0.601596 1.504290 -0.236219 
1690427.866493 -0.836033 0.749346 0.730223 -1.513507 1.013257 1.096370 1.393190 -0.337606 
1690427.876258 -0.862542 -1.880699 0.014416 0.269409 -0.581801 1.182992 -0.503909 -1.797246 
1690427.885330 1.725907 0.748608 -1.200927 1.380142 -0.936692 0.376040 0.044492 -1.249109 
1690427.895330 1.448355 -0.958330 -0.206341 -0.939483 -1.739082 1.459015 -0.251952 0.472928 
1690427.906718 -1.329670 -1.237982 -1.603228 0.973517 -1.672563 0.242665 0.633671 0.311013 
1690427.916198 -0.460568 1.732220 1.498247 1.580234 -0.214628 1.043514 -0.000340 -0.931823 
1690427.925070 -0.971371 1.727144 -0.213784 -0.901580 0.362300 -0.399079 -0.042767 0.109269 
1690427.934593 -1.054460 0.636008 0.632373 1.383273 1.080878 -0.240834 -0.458112 0.586432 
1690427.946208 0.624875 0.238476 0.691836 1.263000 -1.246875 1.008117 -1.090001 0.310663 
1690427.955899 -0.752261 0.820153 -1.410093 1.777029 -0.328915 0.403113 -0.082032 0.960375 
1690427.965033 1.204252 -1.620128 0.503417 -0.106497 -0.692880 0.887787 -1.254277 2.053273 
1690427.975976 0.158030 0.615695 -0.561479 -0.356737 0.475765 0.872450 -0.552316 0.813903 
1690427.985482 0.634214 0.402687 0.670846 -0.331758 -1.220018 1.431579 -1.292028 -1.898963 
1690427.995188 1.732252 1.638226 -0.178563 0.263039 -0.457599 0.342310 0.402919 -2.336094 
1690428.006403 -2.295065 0.242426 -1.290505 -0.215597 0.624546 0.865049 -0.113451 -0.899859 
1690428.014647 -0.122538 -0.886348 -1.562405 -0.483970 0.745423 -0.549150 -0.231854 -0.084945 
1690428.024738 -1.172545 2.181474 -0.590080 -0.760045 0.634708 0.247207 -0.721043 1.878114 
1690428.034677 -0.753310 -0.334948 1.102177 -0.268573 -0.114431 0.536849 -0.499097 0.601713 
1690428.045341 0.724715 1.119268 2.107538 0.958265 -0.536643 1.706282 -1.694576 0.803677 
1690428.055920 -0.162198 0.388214 -1.004452 -0.362591 0.507668 3.030116 -1.533980 0.807459 
1690428.065609 0.356215 -0.381737 -0.868272 1.386023 1.389931 0.967677 0.536101 0.498171 
1690428.075040 -1.386471 -0.515743 -0.651223 -1.261541 1.223448 -1.402051 0.363589 1.967333 
1690428.085657 0.702097 -2.404492 1.451451 -0.779303 -0.063441 1.359506 0.331406 -0.360878 
1690428.095014 -0.295671 1.245896 -0.879966 -0.278349 1.545761 0.419493 -0.656234 1.013658 
1690428.104978 0.587208 0.158927 -1.803879 -2.086087 0.024632 -1.852426 0.583113 0.492316 
1690428.114776 0.962470 0.084165 1.362935 1.309836 0.119918 -0.155643 -0.484847 2.189322 
1690428.125501 -0.005823 -0.054354 1.167849 0.586459 1.853320 -1.239442 -1.891990 0.590543 
1690428.134476 -0.981111 -0.483080 1.467347 -0.693850 0.834641 -0.659777 -1.412946 -1.303122 
1690428.145878 -0.297966 -0.568069 1.127504 0.025516 2.590177 -0.722703 1.225918 -0.617719 
1690428.154429 1.109224 1.206871 -0.267506 0.196673 -0.323277 -0.265624 -0.695600 -0.359789 
1690428.165158 2.308720 1.838044 1.053409 0.340768 1.496721 -0.429512 -1.722967 0.773009 
1690428.175856 -0.182226 -1.652160 -0.334460 -1.456860 1.519095 -0.845095 0.125288 -0.880089 
1690428.185193 -0.391484 0.166771 -1.130691 0.569935 0.332843 1.045767 -1.708437 -2.768218 
1690428.195558 0.185861 0.228923 -0.390920 0.899928 0.273076 -0.664835 1.355531 -0.847373 
1690428.204631 0.774217 0.812105 0.447022 0.600363 0.331730 -1.127462 -1.664860 0.744063 
1690428.215253 1.288215 1.511988 -1.030744 -1.296062 -0.077488 0.861218 -0.762726 -0.316890 
1690428.224760 0.279660 -0.212622 0.243896 1.119562 -1.927392 0.790660 -1.812075 -0.732471 
1690428.234957 0.586197 -1.668178 0.827829 -0.053898 0.964859 0.478295 -2.106740 -1.195203 
1690428.245679 -0.710707 1.503942 1.003968 0.559408 0.140972 0.363688 1.931732 -1.441194 
1690428.254803 -0.273695 -0.830819 0.135364 1.553980 0.486479 -0.097956 -0.534676 -0.306564 
1690428.264989 -1.034201 -1.562906 -0.714277 -0.561205 0.909822 -1.091633 -0.008455 -1.658614 
1690428.275064 -0.275411 1.151147 -1.151492 -1.100030 1.196289 -0.418671 1.029229 -0.143731 
1690428.285092 2.792194 0.869758 -0.154337 0.721622 -0.266768 -0.676243 1.059477 -0.141403 
1690428.295372 2.079846 -0.029358 -2.128363 -0.439360 0.485755 -0.391139 -1.415095 0.022638 
1690428.304730 0.868086 -0.164953 -0.267250 0.571875 -0.031673 0.214368 -1.488565 0.661549 
1690428.315021 0.049561 0.748193 -0.441655 0.618977 -0.540227 -0.031737 -1.699295 0.659970 
1690428.324934 -0.740981 -0.340507 -0.885551 -0.711930 -1.962827 -1.627110 -0.976735 -0.527833 
1690428.335320 -1.635756 -0.066443 -0.231374 -0.736790 -0.877698 1.248270 -0.943549 0.774038 
1690428.345249 0.095034 1.641974 -0.667804 0.090390 0.177571 -2.392891 0.215150 1.811008 
1690428.354995 0.296971 0.156704 1.577107 1.004192 -1.741465 0.764611 -1.606881 1.877694 
1690428.365435 -0.076545 -0.377688 0.794033 -1.230143 -0.443959 0.477539 0.169174 0.072433 
1690428.375028 0.677029 -1.150633 -0.063484 -0.138796 -0.626914 0.677120 -0.721523 0.740338 
1690428.385124 -0.278416 2.935201 -0.511896 0.744832 0.444698 1.686745 1.615596 -0.897601 
1690428.395589 0.144678 2.003485 0.268879 -1.540225 0.094068 1.956855 -0.224602 -1.936598 
1690428.404997 0.994589 -0.068832 0.657955 -1.865647 -0.633911 -0.841457 -0.414936 -1.487124 
1690428.414884 -1.896455 -0.971890 2.130249 0.125045 -0.203065 1.639967 0.751281 2.135144 
1690428.424757 -0.671167 0.326146 -0.030653 0.844664 -0.270191 0.632805 -0.073683 0.922842 
1690428.434765 -1.017661 -0.610438 -0.084708 -0.408917 0.227763 -0.484927 0.178527 1.033983 
1690428.444975 -0.035718 -0.569271 -0.532445 0.035878 -0.034002 -0.700681 -1.293546 0.808955 
1690428.454982 0.079886 -0.028803 -0.648985 -0.660226 0.604161 -0.683705 1.849397 0.266716 
1690428.464716 1.362854 0.005729 0.429276 -1.607289 0.507688 -1.895484 0.468282 0.040646 
1690428.475886 -0.291956 -0.408159 -0.444955 -0.588384 -0.215211 -0.844699 -0.994721 1.237349 
1690428.485111 -2.721655 0.242206 0.032199 0.321551 1.282991 0.452318 -1.531175 -0.350277 
1690428.495556 -0.359099 -0.188742 1.070664 0.729107 -0.196756 -0.611393 0.780522 0.516896 
1690428.505028 1.583939 0.618252 -0.798975 1.053930 0.084129 -0.264267 2.280569 -1.253237 
1690428.515593 1.492990 0.336534 0.017100 -0.550099 0.619679 -0.921601 -0.193247 0.358483 
1690428.525068 0.482067 -0.191727 -0.379582 -1.019479 -0.625620 0.327493 0.959359 -0.070543 
1690428.534957 -0.589849 0.884081 0.083419 -0.017184 -0.036440 -0.574353 0.946228 -0.224352 
1690428.545938 1.210101 0.028719 0.922702 -0.154864 -1.567776 -0.429289 -2.252595 1.070742 
1690428.554959 1.311414 -1.292633 -0.319848 0.082884 -0.424688 1.918413 -0.167269 0.734030 
1690428.564808 -1.094689 0.483196 0.073857 0.975395 0.705260 1.341903 -0.424425 0.709913 
1690428.575120 -0.709779 -0.688388 -0.180455 0.981637 1.458933 -0.925964 0.171202 -0.820636 
1690428.585373 1.749192 -0.668101 -0.658123 2.053756 0.932139 2.556358 1.394775 0.723336 
1690428.595708 -0.416840 -1.471508 -0.567446 -0.876504 1.167591 -1.531498 -1.874042 -0.936956 
1690428.606097 -2.613250 -0.141300 0.258559 -0.697264 -0.119752 0.213175 1.136097 0.735864 
1690428.615123 0.772014 -0.266199 0.226999 -0.591646 -0.582371 -1.023395 -0.579694 -0.126032 
1690428.626048 -0.528510 -2.296386 0.478600 -0.311276 1.899490 1.940951 2.010331 -0.983117 
1690428.635037 -0.728270 0.083864 3.189318 0.608986 0.109193 0.449022 -0.050838 1.068785 
1690428.645290 0.003892 -0.190083 -0.123636 0.981334 -0.163947 -0.188899 0.987892 -0.179829 
1690428.655532 0.781013 0.819496 0.204585 0.049213 -0.038872 -0.566937 1.467316 0.936604 
1690428.664933 0.042485 1.941876 1.418172 -0.254816 -1.563226 -0.764655 -1.332747 -0.538504 
1690428.675748 0.429379 -0.452620 -0.636063 0.227039 1.235607 0.091833 -0.969528 2.072013 
1690428.685564 -2.719824 -0.071808 0.404481 -0.927531 -0.199514 1.937331 -2.224417 -0.639722 
1690428.696674 -0.672030 0.917754 1.547710 1.714922 -1.167438 0.070536 0.330462 -0.839469 
1690428.704655 -0.229966 -0.879488 0.729919 -1.234479 0.608586 -0.596630 -0.636747 0.784154 
1690428.715213 0.109983 0.048755 -0.072334 0.558369 -0.271389 0.820175 -0.792892 -1.460472 
1690428.725183 2.286144 0.021840 2.355868 -0.344768 0.346117 -1.767191 0.447685 1.113580 
1690428.734905 -0.992134 -0.588854 -0.649933 -1.275922 -1.713825 -0.418917 -1.275562 1.614856 
1690428.745925 -1.687908 1.375049 -1.346893 -1.369389 -1.306795 -0.386234 -0.608418 0.100092 
1690428.754834 -0.018576 -1.065335 1.160535 -0.377287 -0.428039 0.995074 -0.818922 -0.245417 
1690428.765968 0.262336 0.819589 0.344149 0.077891 0.550064 -0.120874 0.007169 -0.731920 
1690428.775525 -0.971423 -0.356984 -0.146469 2.368007 -0.902713 -0.335847 -1.153745 0.469566 
1690428.785266 0.097684 -0.483403 -0.713860 0.802432 -0.561061 -0.943048 -1.197752 1.039177 
1690428.795923 -0.821654 0.693451 0.350778 -0.374992 1.045717 0.977823 -1.377508 1.346134 
1690428.805017 -1.005878 -0.364810 0.898568 1.836358 0.768695 -0.040687 1.326095 -0.443109 
1690428.815275 0.260181 -0.786519 -0.402423 -0.886805 -0.866199 0.364446 0.861557 0.958560 
1690428.825515 1.396845 -0.105300 -0.521508 -1.279707 1.136203 1.671804 0.987249 -0.148598 
1690428.834725 1.192536 -2.833748 -1.162081 0.002870 0.386222 -1.639536 -0.848385 1.195848 
1690428.845515 -0.767869 0.184098 0.245943 -0.044430 0.597497 1.270281 0.273201 -2.195336 
1690428.854980 -0.077578 -1.157594 0.167524 -0.511007 0.169523 -1.339670 1.330342 -0.828886 
1690428.864719 1.146964 0.690353 0.158402 0.182644 -0.565337 0.838429 -1.873594 -1.632369 
1690428.877682 -1.269936 0.619243 0.835961 0.284382 -0.114066 -0.467485 -0.003027 -1.269011 
1690428.885112 0.237370 -1.004428 0.436314 2.546276 -0.934520 -0.093189 0.335988 0.881414 
1690428.895565 -0.839935 -1.807203 -0.182125 -1.869043 -0.161344 -0.557493 0.779245 -0.670953 
1690428.904792 -0.371966 0.403350 -0.100212 0.037386 -0.832366 -1.976316 1.810524 -1.815153 
1690428.915405 -0.392105 -0.154416 0.595526 -0.125384 -0.594454 -0.602225 -1.064576 -0.817320 
1690428.925219 0.138284 0.788922 -0.777223 0.095348 1.818274 -3.020870 0.271426 0.319096 
1690428.935132 -0.944484 1.426227 -1.511519 0.946006 0.715622 -0.947146 0.951760 -0.024610 
1690428.945020 -1.881516 -1.310595 -0.560012 -1.878161 -1.465041 -0.088543 -0.086170 -0.292155 
1690428.955110 1.490595 0.173710 1.127272 -0.372594 -1.316554 0.107400 -2.178388 -2.636244 
1690428.964815 -1.070175 0.229406 0.759935 0.410175 0.975875 -0.800189 -0.326675 -0.133103 
1690428.976062 0.286875 -0.878217 0.362605 0.212594 -0.844368 -0.552014 1.925539 -0.334362 
1690428.985052 -0.249238 0.071250 0.378599 -0.524738 0.407223 0.678818 0.942517 1.289681 
1690428.995917 -0.328768 -1.010836 -0.887464 -0.460232 0.914214 0.576831 2.354685 -0.032767 
1690429.004954 -1.942227 -1.439177 -1.595223 -1.432726 -0.533773 -1.490631 -1.946960 0.083278 
1690429.014917 0.695499 0.498781 -0.716575 0.006842 1.902541 0.665566 -0.093803 0.651785 
1690429.024946 -0.262326 -0.022056 0.970994 0.377317 0.042992 -0.780255 -0.611921 -0.196520 
1690429.034840 -0.686682 -1.733870 -0.351053 2.634586 0.872793 -0.469896 -0.357682 -1.815790 
1690429.045507 0.967405 0.379359 0.881921 1.982751 0.361886 -0.521691 0.811010 -2.281751 
1690429.056016 -0.701733 -1.159799 -0.669905 0.846633 0.824284 0.447929 0.508318 2.049475 
1690429.065369 -1.504270 -0.237712 0.360797 -0.332405 0.378951 -2.190949 2.112316 2.828747 
1690429.075242 0.551017 -0.852174 -0.460817 0.558606 0.593854 -0.204399 -0.076476 0.145482 
1690429.086283 0.503177 -0.774191 -0.360293 -0.525417 1.066384 -0.308070 0.947526 0.408946 
1690429.095752 -1.465349 -0.622940 -0.631999 1.215058 -1.006877 -2.093394 0.180417 -1.126488 
1690429.104736 0.213308 -1.099101 -0.776914 -0.095353 -0.501834 -0.956796 0.273763 0.375021 
1690429.115474 -0.812431 0.533601 -0.205804 0.385896 -0.309309 -0.192998 0.479293 -0.006485 
1690429.124885 0.188084 0.358592 -0.391270 0.497900 2.271163 -0.644038 -1.993849 -0.301268 
1690429.135567 -0.820078 -0.035643 0.234429 -1.197540 -0.803063 -1.597467 0.256091 0.589068 
1690429.145989 -0.394979 0.926323 -0.191709 -1.061181 0.088934 -1.582608 1.530407 0.208317 
1690429.154944 -0.200172 -0.040691 -2.321595 -0.167775 1.243225 -0.275782 0.764484 -0.560211 
1690429.165203 -0.095942 0.520326 -0.609686 0.828035 -0.511218 -0.987215 -1.041753 -1.056979 
1690429.175496 0.505443 -2.444015 2.166816 -1.194421 -0.536959 -3.026772 2.535453 -0.910031 
1690429.185134 1.000801 0.885081 -2.490038 0.070498 0.305456 0.037375 0.427660 -1.139679 
1690429.196463 -1.224696 -0.810097 0.603854 0.175246 -1.350681 0.194741 -0.366373 -0.855185 
1690429.204897 0.800153 -0.764408 -0.806812 0.280311 0.526838 -0.470551 -0.812077 -0.123832 
1690429.215950 -0.441926 -0.902619 -0.329200 0.868490 -1.885504 -1.567184 -0.554501 -1.543006 
1690429.225214 0.382984 -0.779283 -0.279900 -0.714151 -0.210424 -0.498237 1.078217 0.877704 
1690429.235274 -1.141107 -1.600944 -0.623762 0.524632 0.084720 1.104303 -0.757433 -1.230696 
1690429.245389 0.488371 -0.179397 1.373188 0.012110 0.196561 -2.009938 0.515842 1.353521 
1690429.255337 1.103758 1.237222 -1.373143 -0.198142 0.289518 0.664761 -2.007590 1.520920 
1690429.264946 -1.045602 -0.305164 1.519480 -1.365108 0.521437 0.290780 -1.305993 0.127155 
1690429.276404 0.140552 0.705280 -0.234660 0.258606 -0.957977 0.349689 -0.823833 1.125845 
1690429.285436 1.643930 -0.672104 -1.534848 -0.009008 -0.113534 -1.602309 -0.212198 1.599863 
1690429.295469 -0.776633 0.162408 1.976718 0.008972 -0.613617 0.210322 -0.839283 -1.411846 
1690429.305450 -0.052153 0.631368 0.334552 0.292893 0.143167 0.445603 -1.813442 -0.418147 
1690429.316645 -0.049400 -1.193485 0.495423 2.445738 -1.702327 -0.830820 -0.195166 -0.699781 
1690429.325136 0.456662 -0.700485 0.697272 -0.406540 0.487978 -1.226246 0.894684 -2.133326 
1690429.335071 1.152950 0.123816 -2.131651 0.931751 -2.698764 1.178591 0.981649 -0.396999 
1690429.345512 -0.979758 2.355809 -0.667156 0.496270 -0.172851 -0.632705 -3.290745 -0.728950 
1690429.355779 -0.374642 -0.244482 -1.691572 -0.226991 0.905351 1.010010 -0.343940 1.752362 
1690429.365144 0.267721 0.548075 0.929273 -1.775797 -1.242529 0.749166 -0.294244 0.367638 
1690429.375114 1.882667 -1.333867 -0.304133 -0.326961 0.591700 -1.794295 0.022252 0.727875 
1690429.386544 -0.277781 -0.787472 2.539785 0.590490 1.282831 -0.172557 0.052856 0.359410 
1690429.395984 -1.330287 0.965751 -0.356051 1.786302 0.100598 1.171209 1.216862 -0.192587 
1690429.405799 0.080971 -0.638877 -1.217735 -0.114774 -1.840466 0.487118 -1.437786 0.241223 
1690429.415373 -0.432707 0.584700 0.105264 -0.481912 1.450204 0.140038 -0.308825 -0.728999 
1690429.424936 -0.045252 0.843143 -1.593722 1.723371 -0.161209 0.372896 -0.430344 -1.128640 
1690429.435553 0.458207 -1.154643 -0.312918 0.132034 -0.288915 -1.034446 -0.586345 0.372143 
1690429.445513 -0.820013 -2.084841 -1.734818 -0.349542 -0.358762 -0.722215 1.082260 1.723351 
1690429.456662 1.256824 0.976695 -0.391762 -0.566067 -0.148239 -0.091146 1.251565 -0.328510 
1690429.465642 -1.589155 1.430487 -0.659251 -1.053584 -0.055266 -0.906349 0.121756 0.279411 
1690429.475353 0.965918 -0.072128 -1.489525 -0.591778 0.782433 1.200137 0.218263 0.046120 
1690429.486202 -0.385916 0.481003 0.283491 -0.373720 0.118194 -0.725498 1.477587 0.722082 
1690429.496475 0.285318 -0.729098 -0.313714 -0.083856 -1.247456 0.145091 -0.440770 0.913926 
1690429.505831 0.171421 0.361319 1.649253 0.761150 0.865690 -1.099165 -0.870469 -1.359195 
1690429.515636 0.195268 0.158368 -0.345546 1.514716 0.379029 0.256466 -0.055234 1.655054 
1690429.525064 -0.102176 0.806141 1.477275 -1.027279 -0.616127 0.327909 -1.372385 0.953740 
1690429.535164 -0.215137 -0.155317 -0.384095 -0.820907 -0.368168 0.426699 0.166675 -0.673173 
1690429.545474 1.577875 0.170758 1.243983 0.246226 0.098536 -0.539348 2.130122 0.493135 
1690429.555416 -0.005991 0.003225 0.226466 0.581713 1.270850 0.387145 0.643796 1.563568 
1690429.565452 -1.708622 -0.077279 0.469310 0.325795 0.639179 0.821361 0.308010 2.172538 
1690429.575842 0.426142 -1.056207 -1.150137 -0.046949 1.774911 0.056212 -1.812364 -0.526766 
1690429.586048 2.416168 -0.316606 -0.438728 0.945690 1.595455 -0.775653 0.292933 -2.098989 
1690429.596430 0.483944 -0.596902 1.841054 -0.840198 -0.354649 0.155338 -0.102127 -0.641092 
1690429.605182 0.951225 -1.038515 0.355120 1.873031 -0.349668 -1.211677 0.012159 -2.047406 
1690429.615144 -0.745784 -1.162006 1.737676 -0.084065 -0.675255 1.124700 0.574443 -1.059855 
1690429.625335 -0.921353 -0.397465 -0.217792 1.040865 0.073180 -0.838698 0.631486 -1.851194 
1690429.635077 -0.745895 -0.274080 -1.108312 0.026975 0.116308 1.264494 -0.380229 -0.880389 
1690429.645568 0.699277 -0.049389 0.913438 -0.565546 -1.674074 1.341272 -1.732259 -0.012805 
1690429.655081 -2.462749 -0.008034 0.328556 -1.467981 -0.269284 -0.430933 -1.780654 0.332562 
1690429.666105 -0.427416 -1.203147 -0.719945 -1.289735 -0.389496 -1.998373 0.126519 0.178809 
1690429.676488 0.076740 0.075712 0.288377 0.146607 0.542014 0.693117 1.053436 -0.161100 
1690429.686003 -1.069812 2.163594 0.832627 -1.272391 -0.688703 0.091591 -1.360573 1.261902 
1690429.696488 0.847778 0.333872 -0.367245 0.024184 -0.777435 0.717297 0.039808 -0.674981 
1690429.705254 -0.499883 0.289875 0.927899 0.488818 -0.119272 -0.876455 0.150074 0.541895 
1690429.715057 0.967151 0.135237 -1.857530 0.030814 0.020668 -1.541144 0.710594 1.382041 
1690429.726623 -1.105337 -0.289119 -0.732578 0.118823 -0.236039 1.206108 -0.136964 -0.450278 
1690429.735327 0.769993 -0.313395 0.097775 -1.884690 0.865250 -1.225662 -0.295790 -1.319791 
1690429.745895 1.750403 -0.175143 -0.960890 0.994161 0.416268 -0.680664 1.590292 -1.577160 
1690429.755178 0.895831 0.106702 -0.223475 -0.358594 0.733469 1.453388 0.478308 -0.356515 
1690429.765261 0.961784 -0.322808 0.458231 -0.349266 0.095549 1.283197 0.140975 1.903224 
1690429.776257 0.624081 -0.134901 -0.238168 -0.064967 -0.996371 -1.423014 2.391623 1.262655 
1690429.786473 0.012851 -1.845650 0.905866 -0.844373 -0.931933 -0.829150 1.494949 -0.315058 
1690429.795751 -0.748463 0.802211 -0.137457 0.603810 -0.521709 0.624073 2.155252 -1.601472 
1690429.805970 -1.220672 -1.063361 1.477409 0.241971 -0.767698 0.499507 1.005992 1.400041 
1690429.815740 0.669459 -1.253062 2.737628 0.169726 -0.055625 -0.167801 1.176727 0.242745 
1690429.825870 -0.297183 0.801849 0.382397 -1.051251 0.676576 1.058182 0.570243 0.337362 
1690429.837578 -0.855446 -0.829573 0.287218 -0.425576 1.643503 -0.028750 -0.394016 -0.533237 
1690429.846526 0.683742 -0.771805 1.490379 1.641031 -1.185214 0.126210 -0.194916 -1.394495 
1690429.855335 -0.179847 -0.702301 0.513553 -0.832202 -0.757058 0.264650 0.358958 0.409836 
1690429.866451 0.452600 -1.583462 1.847482 -0.248025 0.523911 -1.512704 -0.068498 0.041294 
1690429.875115 0.873375 0.090434 0.045633 -0.493559 -1.122149 -0.160154 -0.783157 -0.163259 
